Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $315.32/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x528fa0baf523802c81d47fee1a26e7f128aa21c23db3d399e704a23a1792b686,28502988,1684968444,5/24/2023 22:47,0x0ec033072c84c3d112b789f27859e0f40a2b6d86,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x5604125224a000452eb7ff66eb956c73024b6f9834795e24fa7998587ca1f248,28503121,1684968843,5/24/2023 22:54,0xf2d5ca9e555bb233a11619f7957918884b925b19,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x96d9309fa6e78357aaa3301dfbe5b14884fc8d9a92c591448caf6934e36391c0,28503146,1684968918,5/24/2023 22:55,0x8ffa0b4e757a25378a986ffaabb3006bba9e3bba,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000132366,0.041737647,305.91,,,Approve
0x6e14c07270ca216fc024c83890c30b25eccda56191407b81b43288b0112ac828,28503307,1684969401,5/24/2023 23:03,0x1f52510f184379bb7c3015e94235c1a6b625f25e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x07aea34a42a86642250356a0b4ace03e5434576e93251f4856b1b69d152369e6,28503499,1684969980,5/24/2023 23:13,0x32ce30506afcd5baa2c75a8e5fae49defc399a08,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000087582,0.027616356,305.91,,,Approve
0x5096cf78647c582dfab7df05ce39a788b3798fb1c9686855d5eee3f957cc7345,28503736,1684970696,5/24/2023 23:24,0x10989281ba88c9b42f9bb09e3a213dd6d1c19809,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x9825fe35abea1c58b0df1a6e95c81e0247c7fe922a7f3d4ab8fa632eba3cadc0,28504022,1684971554,5/24/2023 23:39,0xb31af9b11f2032946744a72423e317a608bed59e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00044506,0.140336319,305.91,,,Approve
0x0eababe7bc12c249b7c66d30bde866c8a2dd55d4b63de16e5c95528daacbb9c2,28504088,1684971752,5/24/2023 23:42,0x10989281ba88c9b42f9bb09e3a213dd6d1c19809,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x26629a08b5c311dabad7cc864d967b7d87c8602b2a26ee7a1217cf8afc0bce36,28504090,1684971758,5/24/2023 23:42,0x2f1f7d3dca592b928a6563d452bd122a53dc2c77,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022103,0.06969518,305.91,,,Approve
0x0b2e762599bf0fa7029bf252a52d89198fe7c88a3739fcca3e9cfdfb2c6da5e8,28504163,1684971977,5/24/2023 23:46,0xe17bba1ddf59ba725ebb708e2fbb181bbc9e3d47,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000132762,0.041862514,305.91,,,Approve
